id;name;password;email;domain
1;Industrial;connect Markets Chief;Mona8@yahoo.com;sky blue Tasty Plastic Pizza
2;compress South Georgia and the South Sandwich Islands;compelling mission-critical;Doug80@yahoo.com;Small
3;deliverables reinvent 24 hour;overriding;Merle_Rempel60@hotmail.com;Identity
4;Frozen IB;Highway Ergonomic;Elvera66@yahoo.com;New York tangible Mississippi
5;Frozen bus;hard drive Robust Networked;Joyce.Quitzon@gmail.com;partnerships
6;Outdoors;Harbor Montana;Sydney60@hotmail.com;Saint Lucia white
7;Generic neutral Salad;Auto Loan Account modular Refined;Queen41@yahoo.com;EXE projection Fresh
8;support Gorgeous;withdrawal;Rebeca.Herman0@gmail.com;Borders
9;Bedfordshire Bahamian Dollar;24/7;Cathryn51@hotmail.com;Kenyan Shilling robust
10;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Weston.Kuvalis@yahoo.com;encompassing
